ICAO,NAME
AJA,A J Services
SFM,A-Safar Air Services
AJJ,A2 Jet Leasing
XXV,AASANA
ABP,Aba Air
BBE,Ababeel Aviation
ABJ,Abaeté Linhas Aéreas
ABE,Aban Air
MRP,Abas
AHU,ABC Air Hungary
FTY,ABC Bedarsflug
AAB,Abelag Aviation
ADJ,Abicar
BOI,Aboitiz Air
TUS,ABSA - Aerolinhas Brasileiras
AUH,Abu Dhabi Amiri Flight
ABX,ABX Air
CHG,AC Challenge Aero
IAE,AC Insat-Aero
NCL,ACA-Ancargo Air Sociedade de Transporte de Carga L
ACD,Academy Airlines
CYD,Access Air
CFM,ACEF
BVR,ACM Air Charter
BJT,ACM Aviation
ORS,Action Air
AXQ,Action Airlines (Action Air Charter)
RRM,Acvila Air-Romanian Carrier
VUE,AD Aviation
DHI,Adam Air
ADK,ADC Airlines
DSC,Addis Air Cargo Services
SWH,Adler Aviation
ADR,Adria Airways
ADV,Advance Air Charters
XTJ,Advance Aviation Services
WSN,Advanced Air
ADD,Advanced Air Co.
RDD,Adygeya Airlines
AEE,Aegean Airlines
REA,Aer Arann
EIN,Aer Lingus
ATT,Aer Turas
ADG,Aerea Flying Training Organization
PZA,Aereo Taxi Paraza
FST,Aereos Limited
TXI,Aereotaxis
AGP,AERFI Group
ABF,Aerial Oy
SUY,Aerial Surveys (1980) Limited
AEZ,Aerial Transit Company
MBV,Aeriantur-M
RIS,Aeris Gestion
CTR,Aerlineas Centauro
AST,Aerlineas Del Oeste
HUC,Aerloineas de Techuacan
MMC,Aermarche
SSM,Aero 1 Pro-Jet
DSM,Aero 2000
RFC,Aero Africa
WIL,Aero Air
ILK,Aero Airline
EAY,Aero Airlines
ABM,Aero Albatros
ALB,Aero Albatros
DSK,Aero Algarve
RSO,Aero Asia International
AAD,Aero Aviation Centre Ltd.
BNB,Aero Banobras
BLZ,Aero Barloz
AEB,Aero Benin
BGG,Aero BG
BZS,Aero Biniza
GBJ,Aero Business Charter
CBV,Aero Cabo
CFV,Aero Calafia
SER,Aero California
GLT,Aero Charter
CTA,Aero Charter and Transport
KFK,Aero Charter Krifka
ITO,Aero Citro
CLP,Aero Club De Portugal
CGV,Aero Clube Do Algarve
DFA,Aero Coach Aviation
ACO,Aero Comondu
CDP,Aero Condor Peru
CND,Aero Continente Dominicana
NIG,Aero Contractors
LFC,Aero Control Air
PTE,Aero Copter
XCT,Aero Costa Taxi Aereo
DVI,Aero Davinci International
ADL,Aero Dynamics
DYN,Aero Dynamics
EBC,Aero Ejecutivo De Baja California
VEJ,Aero Ejecutivos
ECG,Aero Ejecutivos RCG
AFO,Aero Empresa Mexicana
EPE,Aero Empresarial
AON,Aero Entreprise
EOM,Aero Ermes
XSS,Aero Express Intercontinental
FNX,Aero Fenix
AGY,Aero Flight Service
FGT,Aero Freight
AGW,Aero Gambia
ROH,Aero Gen
HOM,Aero Homex
WAB,Aero Industries Inc
INA,Aero International
AJB,Aero JBR
AJE,Aero Jet Express
AJP,Aero Jets Corporativos
MHC,Aero Jomacha
JUA,Aero Juarez
RLN,Aero Lanka
LDR,Aero Lider
ARK,Aero Link Air Services S.L.
AEM,Aero Madrid
MFL,Aero McFly
DLS,Aero Modelo
MNG,Aero Mongolia
NTD,Aero Norte
OVA,Aero Nova
PNL,Aero Personal
MIE,Aero Premier De Mexico
QUI,Aero Quimmco
NRO,Aero Rent JSC
RCO,Aero Renta De Coahuila
RRC,Aero Roca
SMI,Aero Sami
BAS,Aero Services
BES,Aero Services Executive
SRV,Aero Servicio Corporativo
PTD,Aero Servicio Pity
RVI,Aero Servicios
TED,Aero Servicios Azteca
NEL,Aero Servicios de Nuevo Laredo
SEF,Aero Servicios Ejecutivas Del Pacifico
SII,Aero Servicios Ejecutivos Internacionales
EMS,Aero Servicios Empresariales
SVE,Aero Servicios Expecializados
PNU,Aero Servicios Platinum
ERI,Aero Servicios Regiomontanos
VNG,Aero Servicios Vanguardia
ETE,Aero Siete
SIZ,Aero Silza
ASO,Aero Slovakia
SOG,Aero Soga
SDP,Aero Sudpacifico
IKM,Aero Survey
TON,Aero Tanala
QAT,Aero Taxi
TLD,Aero Taxi Autlan
QKC,Aero Taxi Aviation
TBO,Aero Taxi de Los Cabos
TME,Aero Taxi del Centro de Mexico
TPO,Aero Taxi del Potosi
VAD,Aero Taxi Los Valles
TND,Aero Taxis Cessna
FES,Aero Taxis Y Servicios Alfe
TLU,Aero Toluca Internactional
TZA,Aero Tomza
ATW,Aero Trades (Western) Ltd.
AMP,Aero Transporte S.A. (ATSA)
HUY,Aero Transportes Del Humaya
EPL,Aero Transportes Empresariales
TPB,Aero Tropical
TLE,Aero Util
ARI,Aero Vics
VMR,Aero Vilamoura
AOG,Aero VIP
VLS,Aero Virel
AOV,Aero Vision
AOD,Aero Vodochody
MYS,Aero Yaqui Mayo
